"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-01","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","124.4","","","","1"
"2025-02","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","124.5","","","","1"
"2025-03","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","124.5","","","","1"
"2025-04","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","124.0","","","","1"
"2025-05","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","123.7","","","","1"
"2025-06","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","123.4","","","","1"
"2025-07","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","123.3","","","","1"
"2025-08","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","122.9","","","","1"
"2025-09","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","122.7","","","","1"
"2025-10","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","122.2","","","","1"
"2025-11","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","122.2","","","","1"
"2025-12","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","122.0","","","","1"
"2025-01","Canada","2016A000011124","House only","Index, 201612=100","347","units","0","v111955443","1.2","127.3","","","","1"
"2025-02","Canada","2016A000011124","House only","Index, 201612=100","347","units","0","v111955443","1.2","127.5","","","","1"
"2025-03","Canada","2016A000011124","House only","Index, 201612=100","347","units","0","v111955443","1.2","127.4","","","","1"
"2025-04","Canada","2016A000011124","House only","Index, 201612=100","347","units","0","v111955443","1.2","126.7","","","","1"
"2025-05","Canada","2016A000011124","House only","Index, 201612=100","347","units","0","v111955443","1.2","126.2","","","","1"
"2025-06","Canada","2016A000011124","House only","Index, 201612=100","347","units","0","v111955443","1.2","125.7","","","","1"
"2025-07","Canada","2016A000011124","House only","Index, 201612=100","347","units","0","v111955443","1.2","125.4","","","","1"
"2025-08","Canada","2016A000011124","House only","Index, 201612=100","347","units","0","v111955443","1.2","124.9","","","","1"
"2025-09","Canada","2016A000011124","House only","Index, 201612=100","347","units","0","v111955443","1.2","124.6","","","","1"
"2025-10","Canada","2016A000011124","House only","Index, 201612=100","347","units","0","v111955443","1.2","123.9","","","","1"
"2025-11","Canada","2016A000011124","House only","Index, 201612=100","347","units","0","v111955443","1.2","124.0","","","","1"
"2025-12","Canada","2016A000011124","House only","Index, 201612=100","347","units","0","v111955443","1.2","123.8","","","","1"
"2025-01","Canada","2016A000011124","Land only","Index, 201612=100","347","units","0","v111955444","1.3","117.2","E","","","1"
"2025-02","Canada","2016A000011124","Land only","Index, 201612=100","347","units","0","v111955444","1.3","117.2","E","","","1"
"2025-03","Canada","2016A000011124","Land only","Index, 201612=100","347","units","0","v111955444","1.3","117.3","E","","","1"
"2025-04","Canada","2016A000011124","Land only","Index, 201612=100","347","units","0","v111955444","1.3","117.3","E","","","1"
"2025-05","Canada","2016A000011124","Land only","Index, 201612=100","347","units","0","v111955444","1.3","117.4","E","","","1"
"2025-06","Canada","2016A000011124","Land only","Index, 201612=100","347","units","0","v111955444","1.3","117.4","E","","","1"
"2025-07","Canada","2016A000011124","Land only","Index, 201612=100","347","units","0","v111955444","1.3","117.6","E","","","1"
"2025-08","Canada","2016A000011124","Land only","Index, 201612=100","347","units","0","v111955444","1.3","117.4","E","","","1"
"2025-09","Canada","2016A000011124","Land only","Index, 201612=100","347","units","0","v111955444","1.3","117.3","E","","","1"
"2025-10","Canada","2016A000011124","Land only","Index, 201612=100","347","units","0","v111955444","1.3","117.3","E","","","1"
