Province,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Population,Electors/Électeurs,Voting desks/Tables de vote,Valid Ballots/Bulletins valides,Percentage of Valid Ballots /Pourcentage des bulletins valides,Rejected Ballots/Bulletins rejetés,Percentage of Rejected Ballots /Pourcentage des bulletins rejetés,Total Ballots Cast/Total des bulletins déposés,Percentage of Voter Turnout/Pourcentage de la participation électorale,Elected Candidate/Candidat élu
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon",10001,81781,70859,201,47030,99.2,389,.8,47419,66.9,"Connors, Paul Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Cape Spear",10002,85038,69828,175,45988,99,451,1,46439,66.5,"Osborne, Tom Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Central Newfoundland",10003,74122,64095,231,40636,98.8,492,1.2,41128,64.2,"Small, Clifford Conservative/Conservateur"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador",10004,26655,20027,83,11284,98.5,168,1.5,11452,57.2,"Earle, Philip Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Long Range Mountains",10005,81795,71680,251,46143,99,452,1,46595,65,"Anstey, Carol Conservative/Conservateur"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's East/St. John's-Est",10006,85038,66394,194,46051,99.1,440,.9,46491,70,"Thompson, Joanne Liberal/Libéral"
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Terra Nova--The Peninsulas/Terra Nova--Les Péninsules",10007,76121,64709,268,40875,98,819,2,41694,64.4,"Rowe, Jonathan Conservative/Conservateur"
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan",11001,39236,32251,95,25261,99.1,233,.9,25494,79,"MacDonald, Kent Liberal/Libéral"
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown",11002,38809,28003,75,21089,99,214,1,21303,76.1,"Casey, Sean Liberal/Libéral"
"Prince Edward Island/Île-du-Prince-Édouard","Egmont",11003,37751,31387,97,24008,99,241,1,24249,77.3,"Morrissey, Bobby Liberal/Libéral"
"Prince Edward Island/Île-du-Prince-Édouard","Malpeque",11004,38535,33088,95,26883,99.2,216,.8,27099,81.9,"MacDonald, Heath Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Acadie--Annapolis",12001,76252,67446,211,48298,99.4,311,.6,48609,72.1,"d'Entremont, Chris Conservative/Conservateur"
"Nova Scotia/Nouvelle-Écosse","Cape Breton--Canso--Antigonish",12002,75141,64665,239,48278,99.4,288,.6,48566,75.1,"Battiste, Jaime Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre",12003,76210,67801,224,50213,99.3,346,.7,50559,74.6,"Fraser, Sean Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Cumberland--Colchester",12004,82014,70762,220,49530,99.4,310,.6,49840,70.4,"Hirtle, Alana Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Dartmouth--Cole Harbour",12005,104825,83877,215,59634,99.5,305,.5,59939,71.5,"Fisher, Darren Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Halifax",12006,98885,72377,173,52160,99.3,365,.7,52525,72.6,"Miedema, Shannon Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Halifax West/Halifax-Ouest",12007,99228,76003,208,55184,99.2,426,.8,55610,73.2,"Diab, Lena Metlege Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Kings--Hants",12008,95063,82243,250,59179,99.3,388,.7,59567,72.4,"Blois, Kody Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Sackville--Bedford--Preston",12009,100416,80508,228,58190,99.3,416,.7,58606,72.8,"Clark, Braedon Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","South Shore--St. Margarets",12010,79130,70712,227,50711,99.3,376,.7,51087,72.2,"Fancy-Landry, Jessica Liberal/Libéral"
"Nova Scotia/Nouvelle-Écosse","Sydney--Glace Bay",12011,82219,68679,209,47166,99.2,373,.8,47539,69.2,"Kelloway, Mike Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Acadie--Bathurst",13001,79581,69444,250,48248,98.8,594,1.2,48842,70.3,"Cormier, Serge Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Beauséjour",13002,88591,77871,216,59631,99.4,350,.6,59981,77,"LeBlanc, Dominic Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Fredericton--Oromocto",13003,85389,66852,174,50169,99.5,243,.5,50412,75.4,"Myles, David Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Fundy Royal",13004,73554,63195,177,47611,99.5,234,.5,47845,75.7,"Moore, Rob Conservative/Conservateur"
"New Brunswick/Nouveau-Brunswick","Madawaska--Restigouche",13005,70597,59312,184,41178,99,398,1,41576,70.1,"Deschênes-Thériault, Guillaume Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Miramichi--Grand Lake",13006,59725,52312,173,38257,99.2,302,.8,38559,73.7,"Dawson, Mike Conservative/Conservateur"
"New Brunswick/Nouveau-Brunswick","Moncton--Dieppe",13007,91961,68246,180,47958,99.3,356,.7,48314,70.8,"Petitpas Taylor, Ginette Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Saint John--Kennebecasis",13008,81932,65035,157,44967,99.4,257,.6,45224,69.5,"Long, Wayne Liberal/Libéral"
"New Brunswick/Nouveau-Brunswick","Saint John--St. Croix",13009,80192,68013,210,50092,99.3,356,.7,50448,74.2,"Williamson, John Conservative/Conservateur"
"New Brunswick/Nouveau-Brunswick","Tobique--Mactaquac",13010,64088,54064,178,39667,99.5,203,.5,39870,73.7,"Bragdon, Richard Conservative/Conservateur"
"Quebec/Québec","Abitibi--Baie-James--Nunavik--Eeyou",24001,89087,66061,212,30561,97.6,747,2.4,31308,47.4,"Gull-Masty, Mandy Liberal/Libéral"
"Quebec/Québec","Abitibi--Témiscamingue",24002,103735,82144,273,50115,98.3,851,1.7,50966,62,"Lemire, Sébastien Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Ahuntsic-Cartierville",24003,111511,76573,214,50577,98.3,871,1.7,51448,67.2,"Joly, Mélanie Liberal/Libéral"
"Quebec/Québec","Alfred-Pellan",24004,113173,88300,242,60331,98.3,1015,1.7,61346,69.5,"Iacono, Angelo Liberal/Libéral"
"Quebec/Québec","Argenteuil--La Petite-Nation",24005,108903,92957,282,59233,98.6,828,1.4,60061,64.6,"Lauzon, Stéphane Liberal/Libéral"
"Quebec/Québec","Beauce",24006,111034,89069,243,62982,98.5,963,1.5,63945,71.8,"Groleau, Jason Conservative/Conservateur"
"Quebec/Québec","Beauharnois--Salaberry--Soulanges--Huntingdon",24007,118474,103422,285,68314,98.5,1033,1.5,69347,67.1,"Debellefeuille, Claude Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Beauport--Limoilou",24008,113598,90513,241,61418,98.5,939,1.5,62357,68.9,"Lavoie, Steeve Liberal/Libéral"
"Quebec/Québec","Bécancour--Nicolet--Saurel--Alnôbak",24009,96439,82292,253,54318,98.2,973,1.8,55291,67.2,"Plamondon, Louis Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Bellechasse--Les Etchemins--Lévis",24010,111737,91884,289,65398,98.4,1071,1.6,66469,72.3,"Vien, Dominique Conservative/Conservateur"
"Quebec/Québec","Beloeil--Chambly",24011,114551,91379,265,68052,98.7,873,1.3,68925,75.4,"Blanchet, Yves-François Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Berthier--Maskinongé",24012,108640,92625,282,61956,98.4,981,1.6,62937,67.9,"Perron, Yves Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Bourassa",24013,105637,65762,183,36202,97.5,929,2.5,37131,56.5,"Sari, Abdelhaq Liberal/Libéral"
"Quebec/Québec","Brome--Missisquoi",24014,113913,100653,297,71952,98.8,888,1.2,72840,72.4,"Villeneuve, Louis Liberal/Libéral"
"Quebec/Québec","Brossard--Saint-Lambert",24015,114286,87028,225,58739,98.9,632,1.1,59371,68.2,"Mendès, Alexandra Liberal/Libéral"
"Quebec/Québec","Charlesbourg--Haute-Saint-Charles",24016,113308,90724,235,65266,98.6,937,1.4,66203,73,"Paul-Hus, Pierre Conservative/Conservateur"
"Quebec/Québec","Châteauguay--Les Jardins-de-Napierville",24017,114947,91599,254,62501,98.5,975,1.5,63476,69.3,"Provost, Nathalie Liberal/Libéral"
"Quebec/Québec","Chicoutimi--Le Fjord",24018,92460,75229,209,50839,98.6,721,1.4,51560,68.5,"Martel, Richard Conservative/Conservateur"
"Quebec/Québec","Compton--Stanstead",24019,113282,92790,283,65620,98.7,849,1.3,66469,71.6,"Dandurand, Marianne Liberal/Libéral"
"Quebec/Québec","Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata",24020,116216,95882,345,62992,98.5,967,1.5,63959,66.7,"Généreux, Bernard Conservative/Conservateur"
