"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Newfoundland and Labrador","","Total, 12 years and over","Both sexes","Has a regular healthcare provider","Percent","Percent","","","","","","86.7","","","","1"
"2020","Prince Edward Island","","Total, 12 years and over","Both sexes","Has a regular healthcare provider","Percent","Percent","","","","","","81.8","","","","1"
"2020","Nova Scotia","","Total, 12 years and over","Both sexes","Has a regular healthcare provider","Percent","Percent","","","","","","87.8","","","","1"
"2020","New Brunswick","","Total, 12 years and over","Both sexes","Has a regular healthcare provider","Percent","Percent","","","","","","90.6","","","","1"
"2020","Quebec","","Total, 12 years and over","Both sexes","Has a regular healthcare provider","Percent","Percent","","","","","","80.6","","","","1"
"2020","Ontario","","Total, 12 years and over","Both sexes","Has a regular healthcare provider","Percent","Percent","","","","","","90.6","","","","1"
"2020","Manitoba","","Total, 12 years and over","Both sexes","Has a regular healthcare provider","Percent","Percent","","","","","","84.3","","","","1"
"2020","Saskatchewan","","Total, 12 years and over","Both sexes","Has a regular healthcare provider","Percent","Percent","","","","","","82.9","","","","1"
"2020","Alberta","","Total, 12 years and over","Both sexes","Has a regular healthcare provider","Percent","Percent","","","","","","85.3","","","","1"
"2020","British Columbia","","Total, 12 years and over","Both sexes","Has a regular healthcare provider","Percent","Percent","","","","","","80.9","","","","1"
