"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","Number of persons","Number","223","units","0","v110787543","1.1.1.1.1","19464600","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","Number of persons","Number","223","units","0","v110787543","1.1.1.1.1","20106900","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, fair or poor","Number of persons","Number","223","units","0","v110787550","1.1.1.2.1","3464200","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived health, fair or poor","Number of persons","Number","223","units","0","v110787550","1.1.1.2.1","3428300","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived mental health, very good or excellent","Number of persons","Number","223","units","0","v110787557","1.1.1.3.1","20701100","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived mental health, very good or excellent","Number of persons","Number","223","units","0","v110787557","1.1.1.3.1","20243300","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived mental health, fair or poor","Number of persons","Number","223","units","0","v110787564","1.1.1.4.1","2494800","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived mental health, fair or poor","Number of persons","Number","223","units","0","v110787564","1.1.1.4.1","3021900","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number","223","units","0","v110787571","1.1.1.5.1","6729400","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number","223","units","0","v110787571","1.1.1.5.1","6560500","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Number of persons","Number","223","units","0","v110787578","1.1.1.6.1","9850600","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Number of persons","Number","223","units","0","v110787578","1.1.1.6.1","9909800","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Body mass index, adjusted self-reported, adult (18 years and over), obese","Number of persons","Number","223","units","0","v110787585","1.1.1.7.1","7625500","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Body mass index, adjusted self-reported, adult (18 years and over), obese","Number of persons","Number","223","units","0","v110787585","1.1.1.7.1","7852200","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Number of persons","Number","223","units","0","v110787592","1.1.1.8.1","456900","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Number of persons","Number","223","units","0","v110787592","1.1.1.8.1","453900","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Arthritis (15 years and over)","Number of persons","Number","223","units","0","v110787599","1.1.1.9.1","6058900","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Arthritis (15 years and over)","Number of persons","Number","223","units","0","v110787599","1.1.1.9.1","5915900","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Diabetes","Number of persons","Number","223","units","0","v110787606","1.1.1.10.1","2495100","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Diabetes","Number of persons","Number","223","units","0","v110787606","1.1.1.10.1","2285200","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Asthma","Number of persons","Number","223","units","0","v110787613","1.1.1.11.1","2493300","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Asthma","Number of persons","Number","223","units","0","v110787613","1.1.1.11.1","2802700","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number","223","units","0","v110787620","1.1.1.12.1","842600","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number","223","units","0","v110787620","1.1.1.12.1","830800","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","High blood pressure","Number of persons","Number","223","units","0","v110787627","1.1.1.13.1","5570200","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","High blood pressure","Number of persons","Number","223","units","0","v110787627","1.1.1.13.1","5460100","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Mood disorder","Number of persons","Number","223","units","0","v110787634","1.1.1.14.1","2863500","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Mood disorder","Number of persons","Number","223","units","0","v110787634","1.1.1.14.1","2909600","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110787641","1.1.1.15.1","4684400","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110787641","1.1.1.15.1","4159800","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily","Number of persons","Number","223","units","0","v110787648","1.1.1.16.1","3160100","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily","Number of persons","Number","223","units","0","v110787648","1.1.1.16.1","2916400","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Cannabis use, past 12 months","Number of persons","Number","223","units","0","v1390949345","1.1.1.28.1","6338000","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Cannabis use, past 12 months","Number of persons","Number","223","units","0","v1390949345","1.1.1.28.1","6667000","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Cannabis frequency of use in the past 12 months, daily or almost daily","Number of persons","Number","223","units","0","v1390949353","1.1.1.29.1","1654700","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Cannabis frequency of use in the past 12 months, daily or almost daily","Number of persons","Number","223","units","0","v1390949353","1.1.1.29.1","1706200","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Heavy drinking","Number of persons","Number","223","units","0","v110787655","1.1.1.17.1","5802200","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Heavy drinking","Number of persons","Number","223","units","0","v110787655","1.1.1.17.1","5320500","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Number of persons","Number","223","units","0","v110787662","1.1.1.18.1","","..","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Number of persons","Number","223","units","0","v110787662","1.1.1.18.1","15817500","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Number of persons","Number","223","units","0","v110787669","1.1.1.19.1","","..","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Number of persons","Number","223","units","0","v110787669","1.1.1.19.1","921300","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Breast milk feeding initiation","Number of persons","Number","223","units","0","v110787676","1.1.1.20.1","","..","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Breast milk feeding initiation","Number of persons","Number","223","units","0","v110787676","1.1.1.20.1","","..","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Exclusive breastfeeding, at least 6 months","Number of persons","Number","223","units","0","v110787683","1.1.1.21.1","","..","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Exclusive breastfeeding, at least 6 months","Number of persons","Number","223","units","0","v110787683","1.1.1.21.1","","..","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number","223","units","0","v110787690","1.1.1.22.1","","..","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number","223","units","0","v110787690","1.1.1.22.1","7708900","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number","223","units","0","v110787697","1.1.1.23.1","21292400","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number","223","units","0","v110787697","1.1.1.23.1","21675100","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Life satisfaction, satisfied or very satisfied","Number of persons","Number","223","units","0","v110787704","1.1.1.24.1","28747800","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Life satisfaction, satisfied or very satisfied","Number of persons","Number","223","units","0","v110787704","1.1.1.24.1","28889800","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Has a regular healthcare provider","Number of persons","Number","223","units","0","v110787711","1.1.1.25.1","27014800","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Has a regular healthcare provider","Number of persons","Number","223","units","0","v110787711","1.1.1.25.1","27523500","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Contact with a medical doctor in the past 12 months","Number of persons","Number","223","units","0","v110787718","1.1.1.26.1","","..","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Contact with a medical doctor in the past 12 months","Number of persons","Number","223","units","0","v110787718","1.1.1.26.1","","..","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Influenza immunization in the past 12 months","Number of persons","Number","223","units","0","v123340611","1.1.1.27.1","10208700","","","","0"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Influenza immunization in the past 12 months","Number of persons","Number","223","units","0","v123340611","1.1.1.27.1","11996900","","","","0"


