"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-04","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","115.6","","","","1"
"2022-05","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.2","","","","1"
"2022-06","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.4","","","","1"
"2022-07","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.4","","","","1"
"2022-08","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.4","","","","1"
"2022-09","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.4","","","","1"
"2022-10","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.4","","","","1"
"2022-11","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.4","","","","1"
"2022-12","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.4","","","","1"
"2023-01","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.3","","","","1"
"2023-02","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.3","","","","1"
"2023-03","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.5","","","","1"
"2023-04","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.1","","","","1"
"2023-05","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.1","","","","1"
"2023-06","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.1","","","","1"
"2023-07","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.2","","","","1"
"2023-08","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.2","","","","1"
"2023-09","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.2","","","","1"
"2023-10","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.2","","","","1"
"2023-11","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.1","","","","1"
"2023-12","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","116.2","","","","1"
"2024-01","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","116.2","","","","1"
"2024-02","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","116.3","","","","1"
"2024-03","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","116.5","","","","1"
"2024-04","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","116.5","","","","1"
"2024-05","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.2","","","","1"
"2024-06","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.4","","","","1"
"2024-07","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.4","","","","1"
"2024-08","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.4","","","","1"
"2024-09","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.5","","","","1"
"2024-10","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.5","","","","1"
"2024-11","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.5","","","","1"
"2024-12","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.7","","","","1"
"2025-01","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","117.7","","","","1"
"2025-02","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","120.3","","","","1"
"2025-03","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","120.3","","","","1"
"2025-04","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units","0","v111955445","2.1","120.4","","","","1"
"2022-04","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","118.9","","","","1"
"2022-05","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","120.9","","","","1"
"2022-06","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","121.1","","","","1"
"2022-07","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","121.1","","","","1"
"2022-08","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","121.1","","","","1"
"2022-09","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","121.2","","","","1"
"2022-10","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","121.2","","","","1"
"2022-11","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","121.2","","","","1"
"2022-12","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","121.2","","","","1"
"2023-01","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","121.0","","","","1"
"2023-02","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","121.0","","","","1"
"2023-03","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","121.3","","","","1"
"2023-04","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","120.7","","","","1"
"2023-05","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","120.7","","","","1"
"2023-06","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","120.7","","","","1"
"2023-07","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","120.9","","","","1"
"2023-08","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","120.9","","","","1"
"2023-09","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","120.9","","","","1"
"2023-10","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","120.9","","","","1"
"2023-11","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","120.7","","","","1"
"2023-12","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","119.7","","","","1"
"2024-01","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","119.7","","","","1"
"2024-02","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","119.8","","","","1"
"2024-03","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","120.0","","","","1"
"2024-04","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","120.0","","","","1"
"2024-05","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","120.9","","","","1"
"2024-06","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","120.9","","","","1"
"2024-07","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","120.9","","","","1"
